,Image,F1,Jaccard,Recall,Precision,Accuracy
152,archive\images\2992.png,0.9605460296320958,0.9240871236386932,0.9782977280434045,0.9434270765206016,0.9963836669921875
153,archive\images\1968.png,0.8951310861423222,0.8101694915254237,0.814587593728698,0.9933499584372403,0.9957275390625
154,archive\images\1191.png,0.9256756756756757,0.8616352201257862,0.9303904923599321,0.9210084033613445,0.9986572265625
155,archive\images\2956.png,0.8976945244956772,0.8143790849673203,0.8441734417344173,0.9584615384615385,0.99566650390625
156,archive\images\2187.png,0.9303595812471552,0.8697872340425532,0.9789272030651341,0.8863833477883781,0.9976654052734375
157,archive\images\2248.png,0.8367593712212816,0.7193347193347194,0.7792792792792793,0.9033942558746736,0.995880126953125
158,archive\images\1452.png,0.9388601036269429,0.884765625,0.9151515151515152,0.9638297872340426,0.9990997314453125
159,archive\images\2525.png,0.8448139350752177,0.7313228238519534,0.7637795275590551,0.9450841452612931,0.9940185546875
160,archive\images\1108.png,0.7258485639686684,0.569672131147541,0.6915422885572139,0.7637362637362637,0.996795654296875
161,archive\images\2787.png,0.6997282608695653,0.5381400208986415,0.965625,0.5486505681818182,0.979766845703125
162,archive\images\602.png,0.9533590072742834,0.910874897792314,0.9123669123669124,0.9982078853046595,0.9983367919921875
163,archive\images\227.png,0.8409090909090908,0.7254901960784313,0.955719557195572,0.7507246376811594,0.998504638671875
164,archive\images\1567.png,0.923076923076923,0.8571428571428571,0.9824561403508771,0.8704663212435233,0.99957275390625
165,archive\images\1076.png,0.0,0.0,0.0,0.0,0.9707489013671875
166,archive\images\2565.png,0.9543026706231454,0.9125993189557321,0.9302863754700608,0.9795918367346939,0.99530029296875
167,archive\images\1075.png,0.04986449864498645,0.02556976097832129,0.02598870056497175,0.6133333333333333,0.9732513427734375
168,archive\images\824.png,0.3169048792508625,0.1882869692532943,0.1882869692532943,1.0,0.95770263671875
169,archive\images\2543.png,0.9001148105625717,0.8183716075156576,1.0,0.8183716075156576,0.997344970703125
170,archive\images\460.png,0.9607351712614871,0.9244372990353698,0.9395424836601307,0.9829059829059829,0.9992828369140625
171,archive\images\1751.png,0.951830443159923,0.9080882352941176,0.95,0.9536679536679536,0.9996185302734375
172,archive\images\1390.png,0.9423347398030943,0.8909574468085106,0.901749663526245,0.9867452135493373,0.998748779296875
173,archive\images\754.png,0.7259373792037108,0.5697815533980582,0.576427255985267,0.9801670146137788,0.9891815185546875
174,archive\images\117.png,0.5509877202349172,0.3802505526897568,0.39284354777312525,0.9222520107238605,0.974334716796875
175,archive\images\941.png,0.8914285714285715,0.8041237113402062,0.9301533219761499,0.8557993730407524,0.9979705810546875
176,archive\images\347.png,0.9375987361769352,0.8825278810408922,0.9511217948717948,0.9244548286604362,0.997589111328125
177,archive\images\247.png,0.9243697478991597,0.859375,0.9600997506234414,0.8912037037037037,0.9990386962890625
178,archive\images\837.png,0.8327228327228328,0.7133891213389121,0.7785388127853882,0.89501312335958,0.9979095458984375
179,archive\images\1225.png,0.8798646362098139,0.7854984894259819,0.8280254777070064,0.9386281588447654,0.9989166259765625
180,archive\images\1428.png,0.9622437971952537,0.9272349272349273,0.9409282700421941,0.9845474613686535,0.9994659423828125
181,archive\images\2926.png,0.0,0.0,0.0,0.0,0.9918060302734375
182,archive\images\1774.png,0.8708308065494239,0.7712137486573577,0.9795361527967258,0.7838427947598253,0.9967498779296875
183,archive\images\2107.png,0.9190274369841624,0.8501857201815931,0.9406392694063926,0.8983863933711296,0.9944610595703125
184,archive\images\552.png,0.9168316831683168,0.8464351005484461,0.9566115702479339,0.8802281368821293,0.9974365234375
185,archive\images\925.png,0.9628482972136223,0.9283582089552239,0.9510703363914373,0.9749216300940439,0.999267578125
186,archive\images\284.png,0.0,0.0,0.0,0.0,0.996124267578125
187,archive\images\2780.png,0.0,0.0,0.0,0.0,0.9927978515625
188,archive\images\860.png,0.8702189395937746,0.7702544945131917,0.7799054373522458,0.9841885441527446,0.9849853515625
189,archive\images\375.png,0.9818956336528221,0.9644351464435147,0.9875044626918957,0.9763501588422168,0.998443603515625
190,archive\images\834.png,0.8283582089552239,0.7070063694267515,0.8721428571428571,0.7887596899224806,0.992279052734375
191,archive\images\2642.png,0.0,0.0,0.0,0.0,0.9961700439453125
192,archive\images\1375.png,0.8156862745098039,0.6887417218543046,1.0,0.6887417218543046,0.9978485107421875
193,archive\images\681.png,0.980438648488441,0.9616279069767442,0.9829635499207607,0.9779266850610958,0.9984893798828125
194,archive\images\384.png,0.9740831295843522,0.9494756911344138,0.9920318725099602,0.9567723342939481,0.998382568359375
195,archive\images\2154.png,0.0,0.0,0.0,0.0,0.9955291748046875
196,archive\images\1657.png,0.93841642228739,0.8839779005524862,0.9937888198757764,0.8888888888888888,0.9996795654296875
197,archive\images\69.png,0.9264909847434118,0.8630490956072352,0.9896296296296296,0.8709256844850065,0.998382568359375
198,archive\images\1568.png,0.9061784897025171,0.8284518828451883,0.9166666666666666,0.8959276018099548,0.9993743896484375
199,archive\images\222.png,0.977392381542273,0.9557843731072078,0.9686924493554327,0.98625,0.9988861083984375
200,archive\images\269.png,0.9183303085299455,0.8489932885906041,0.9529190207156308,0.8861646234676007,0.998626708984375
201,archive\images\3041.png,0.0,0.0,0.0,0.0,0.9878692626953125
202,archive\images\1043.png,0.9406009783368273,0.8878627968337731,0.9009370816599732,0.9839181286549707,0.9987030029296875
203,archive\images\2479.png,0.8742368742368744,0.7765726681127982,0.9179487179487179,0.8344988344988346,0.9952850341796875
204,archive\images\2550.png,0.5908063300678221,0.4192513368983957,0.7192660550458716,0.5012787723785166,0.9917144775390625
205,archive\images\393.png,0.0,0.0,0.0,0.0,0.99853515625
206,archive\images\110.png,0.7124600638977636,0.5533498759305211,0.5681528662420382,0.9550321199143469,0.9945068359375
207,archive\images\3033.png,0.9106354060482501,0.8359326263256395,0.8429440134200042,0.9901477832512315,0.9879608154296875
208,archive\images\2233.png,0.6422018348623852,0.47297297297297297,0.9435551811288964,0.4867448935245545,0.98095703125
209,archive\images\2965.png,0.0,0.0,0.0,0.0,0.965850830078125
210,archive\images\581.png,0.9736842105263158,0.9487179487179487,0.9599056603773585,0.9878640776699029,0.998992919921875
211,archive\images\1089.png,0.8137092316196792,0.6859273066169618,0.6963103122043519,0.9787234042553191,0.9948577880859375
212,archive\images\2627.png,0.0,0.0,0.0,0.0,0.9878387451171875
213,archive\images\1411.png,0.9543147208121828,0.912621359223301,0.9559322033898305,0.9527027027027027,0.9995880126953125
214,archive\images\244.png,0.9587020648967551,0.9206798866855525,0.9325681492109039,0.9863429438543247,0.9991455078125
215,archive\images\2609.png,0.8292282430213465,0.7082748948106592,0.9665071770334929,0.7260963335729691,0.99365234375
216,archive\images\855.png,0.8646379853095488,0.7615526802218114,0.896301667875272,0.8351351351351352,0.9940948486328125
217,archive\images\2909.png,0.0043956043956043965,0.0022026431718061676,0.0022026431718061676,1.0,0.9792633056640625
218,archive\images\1207.png,0.8874172185430463,0.7976190476190477,0.8220858895705522,0.9640287769784173,0.999481201171875
219,archive\images\2593.png,0.9071274298056156,0.8300395256916996,0.8597748208802457,0.96,0.99737548828125
220,archive\images\184.png,0.8355263157894737,0.7175141242937854,0.8964705882352941,0.7823408624229979,0.997711181640625
221,archive\images\2060.png,0.0,0.0,0.0,0.0,0.990692138671875
222,archive\images\159.png,0.8945623342175066,0.8092381523695261,0.8373680943513345,0.9601423487544484,0.995147705078125
223,archive\images\512.png,0.9812868495257626,0.9632611977856065,0.9750382068262863,0.9876160990712074,0.9988861083984375
224,archive\images\2732.png,0.0,0.0,0.0,0.0,0.991302490234375
225,archive\images\2994.png,0.0,0.0,0.0,0.0,0.966552734375
226,archive\images\2394.png,0.46742596810933934,0.30499405469678953,0.3068181818181818,0.9808795411089866,0.9821624755859375
227,archive\images\1420.png,0.9157667386609072,0.8446215139442231,0.8617886178861789,0.9769585253456221,0.9994049072265625
228,archive\images\1814.png,0.8581818181818182,0.7515923566878981,0.9874476987447699,0.7588424437299035,0.998809814453125
229,archive\images\782.png,0.851380042462845,0.7412199630314233,0.9593301435406698,0.7652671755725191,0.991455078125
230,archive\images\1437.png,0.8707774798927614,0.7711301044634378,0.9938800489596084,0.7748091603053435,0.9963226318359375
231,archive\images\2300.png,0.43774319066147865,0.28019925280199254,0.8122743682310469,0.2996005326231691,0.991180419921875
232,archive\images\2801.png,0.8518950437317784,0.7420010157440325,0.986495611073599,0.7496151872755259,0.99224853515625
233,archive\images\2418.png,0.9024070021881838,0.8221690590111643,0.8402607986960066,0.9744801512287334,0.9965972900390625
234,archive\images\1955.png,0.8734982332155476,0.7754077791718946,0.7862595419847328,0.9825119236883942,0.9972686767578125
235,archive\images\1342.png,0.9619883040935673,0.9267605633802817,0.9346590909090909,0.9909638554216867,0.99920654296875
236,archive\images\1585.png,0.9345999269272928,0.8772290809327846,0.9891724671307038,0.8857340720221607,0.9972686767578125
237,archive\images\6.png,0.7331118493909192,0.5786713286713286,0.5931899641577061,0.9594202898550724,0.9963226318359375
238,archive\images\718.png,0.6639344262295082,0.49693251533742333,0.5069541029207232,0.9617414248021108,0.988739013671875
239,archive\images\437.png,0.9289940828402367,0.8674033149171271,0.9573170731707317,0.9022988505747126,0.9996337890625
240,archive\images\1792.png,0.5454545454545454,0.375,0.9333333333333333,0.3853211009174312,0.99786376953125
241,archive\images\1681.png,0.9590110605074822,0.92125,0.9436619718309859,0.9748677248677249,0.9990386962890625
242,archive\images\750.png,0.679292300024919,0.5143396226415095,0.5164835164835165,0.9919941775836972,0.9803619384765625
243,archive\images\1826.png,0.9465449804432855,0.8985148514851485,0.9596827495042961,0.9337620578778135,0.99749755859375
244,archive\images\2061.png,0.7638121546961325,0.617877094972067,0.8904991948470209,0.6686819830713422,0.994781494140625
245,archive\images\2858.png,0.8756218905472637,0.7787610619469026,0.7948387096774193,0.9746835443037974,0.9973297119140625
246,archive\images\2101.png,0.6016597510373444,0.43026706231454004,0.7125307125307125,0.5206463195691203,0.994140625
247,archive\images\1006.png,0.8539638386648122,0.7451456310679612,0.7752525252525253,0.9504643962848297,0.9983978271484375
248,archive\images\2808.png,0.4894568690095846,0.3240270727580372,1.0,0.3240270727580372,0.9878082275390625
249,archive\images\1803.png,0.9264705882352942,0.863013698630137,0.8936170212765957,0.9618320610687023,0.99969482421875
250,archive\images\1491.png,0.8689956331877728,0.7683397683397684,0.943127962085308,0.805668016194332,0.99908447265625
